Sample,subvolume_name,Bone_volume,Mean,Std,calculated_rho
25_LE,voi_3,493296000,0.095859326,0.00672348,1.872490445
25_LE,voi_4,500112000,0.095535442,0.007610296,1.869118834
25_LE,voi_5,511856000,0.098209143,0.005290861,1.896951863
25_LE,voi_6,509136000,0.097610012,0.007192413,1.890714953
37_LE,voi_1,512000000,0.10350538,0.003441029,1.935781957
37_LE,voi_2,512000000,0.099277191,0.004104229,1.892605473
37_LE,voi_3,512000000,0.09867432,0.003409109,1.886449207
37_LE,voi_4,511168000,0.096959226,0.003998456,1.868935392
37_LE,voi_5,509480000,0.096916191,0.005197372,1.868495941
37_LE,voi_6,512000000,0.098425768,0.003774608,1.883911105
40_LE,voi_1,512000000,0.10050901,0.003620593,1.91813079
40_LE,voi_2,512000000,0.097336948,0.003644906,1.88542664
40_LE,voi_3,512000000,0.095751874,0.003494823,1.869084435
40_LE,voi_4,512000000,0.096128806,0.003781897,1.87297063
40_LE,voi_5,512000000,0.098396026,0.003296896,1.896345794
40_LE,voi_6,512000000,0.099502563,0.003635007,1.907754266
45_LE,voi_1,512000000,0.10738373,0.005427863,1.996904901
45_LE,voi_2,511976000,0.10186252,0.006106479,1.939193809
45_LE,voi_3,511688000,0.101886228,0.00542708,1.939441617
45_LE,voi_4,504568000,0.098158918,0.008542024,1.90048148
45_LE,voi_5,508528000,0.100287117,0.00766892,1.922726726
45_LE,voi_6,503840000,0.09848462,0.009054323,1.90388592
