sample,sample_group,subvolume_name,mean_gvs,std_gvs,calculated_rho,uncertainty_rho,calculation_method_rho,sample_alias
24,FRESH,voi_1,0.1003516,0.004509925,1.918265976905312,0.0460086829405155,LF_wot,FRESH_2
24,FRESH,voi_2,0.098865002,0.006969621,1.9028850091454963,0.0455744208395867,LF_wot,FRESH_2
24,FRESH,voi_3,0.097251423,0.004784391,1.8861902425866048,0.04511391308412,LF_wot,FRESH_2
24,FRESH,voi_4,0.095033079,0.008755229,1.8632383231408771,0.044499868899561,LF_wot,FRESH_2
24,FRESH,voi_5,0.099184111,0.004155811,1.9061866449884524,0.0456668403240088,LF_wot,FRESH_2
24,FRESH,voi_6,0.098353431,0.006460815,1.897592080554272,0.0454271828993493,LF_wot,FRESH_2
25,FRESH,voi_1,0.096824214,0.00576065,1.8825348555641763,0.0336156809225758,LF_wot,FRESH_3
25,FRESH,voi_2,0.093651623,0.012520372,1.8495084116261564,0.0329652657425905,LF_wot,FRESH_3
25,FRESH,voi_3,0.094076663,0.01140377,1.8539330474305875,0.0330503444536789,LF_wot,FRESH_3
25,FRESH,voi_4,0.094420172,0.010562777,1.857508951393848,0.0331195757482525,LF_wot,FRESH_3
25,FRESH,voi_5,0.098198526,0.005327936,1.896841344557352,0.0339081706469235,LF_wot,FRESH_3
25,FRESH,voi_6,0.097388409,0.007760367,1.888408084901841,0.0337349890378668,LF_wot,FRESH_3
37,MGB,voi_1,0.10350538,0.003441029,1.935781957288196,0.0600801144763456,LF_wot,MGB_2
37,MGB,voi_2,0.099277191,0.004104229,1.892605474315296,0.058497250042218,LF_wot,MGB_2
37,MGB,voi_3,0.09867432,0.003409109,1.886449209903664,0.0582794716144181,LF_wot,MGB_2
37,MGB,voi_4,0.096898653,0.004269405,1.8683168473269105,0.0576499907811294,LF_wot,MGB_2
37,MGB,voi_5,0.096726857,0.005846218,1.8665625390240383,0.0575900502023976,LF_wot,MGB_2
37,MGB,voi_6,0.098425768,0.003774608,1.883911101698028,0.0581902791084703,LF_wot,MGB_2
40,MGB,voi_1,0.10050901,0.003620593,1.9181307898254485,0.0789723163818343,LF_wot,MGB_3
40,MGB,voi_2,0.09733694,0.001512201,1.88542655870464,0.0774056291659643,LF_wot,MGB_3
40,MGB,voi_3,0.095751874,0.003494823,1.8690844335920995,0.0766512513068329,LF_wot,MGB_3
40,MGB,voi_4,0.096128806,0.003781897,1.8729706250206708,0.0768288761761877,LF_wot,MGB_3
40,MGB,voi_5,0.098396026,0.003296896,1.8963457986081769,0.0779203976320765,LF_wot,MGB_3
40,MGB,voi_6,0.099502563,0.003635007,1.90775426115526,0.0784671897329549,LF_wot,MGB_3
45,MBC,voi_1,0.10738373,0.005427863,1.9969049005657704,0.0516545674161844,LF_wot,MBC_5
45,MBC,voi_2,0.101860471,0.006113632,1.9391723913578491,0.0497802057841676,LF_wot,MBC_5
45,MBC,voi_3,0.101857536,0.005548866,1.939141712927864,0.049779244291735,LF_wot,MBC_5
45,MBC,voi_4,0.097455755,0.010300824,1.8931315833804805,0.0483812943255563,LF_wot,MBC_5
45,MBC,voi_5,0.099961743,0.008608005,1.9193257153748229,0.0491662363879967,LF_wot,MBC_5
45,MBC,voi_6,0.097738795,0.010743415,1.8960900920084864,0.0484684638794423,LF_wot,MBC_5
1,MBC,voi_1,1.6892308,0.6643342,1.6892308,0.0339015375999999,DE,MBC_3
1,MBC,voi_2,1.9548876285552976,0.3533661365509033,1.9548876285552976,0.0264631464004514,DE,MBC_3
1,MBC,voi_3,1.9474470615386963,0.288704365491867,1.9474470615386963,0.0266714822769162,DE,MBC_3
1,MBC,voi_4,1.9783484935760496,0.2782270610332489,1.9783484935760496,0.0258062421798703,DE,MBC_3
1,MBC,voi_5,1.982927203178405,0.2276188731193542,1.982927203178405,0.0256780383110044,DE,MBC_3
1,MBC,voi_6,1.9683403968811035,0.3216097354888916,1.9683403968811035,0.0260864688873288,DE,MBC_3
4,MBC,voi_1,1.4653748,0.18730755,1.4653748,0.0123071769999999,DE,MBC_0
4,MBC,voi_2,1.3524532318115234,0.1938175410032272,1.3524532318115234,0.0063787946701049,DE,MBC_0
4,MBC,voi_3,1.4678807258605957,0.2079780101776123,1.4678807258605957,0.0124387381076812,DE,MBC_0
4,MBC,voi_4,1.4259324073791504,0.1916129738092422,1.4259324073791504,0.0102364513874053,DE,MBC_0
4,MBC,voi_5,1.423651099205017,0.1798885464668274,1.423651099205017,0.0101166827082633,DE,MBC_0
4,MBC,voi_6,1.3270394802093506,0.1854465752840042,1.3270394802093506,0.0050445727109908,DE,MBC_0
5,MBC,voi_1,1.2689342,0.20839521,1.2689342,0.0031833874999999,DE,MBC_4
5,MBC,voi_2,1.3717762231826782,0.2201317995786667,1.3717762231826782,0.0096110139489173,DE,MBC_4
5,MBC,voi_3,1.3457159996032717,0.235385462641716,1.3457159996032717,0.0079822499752044,DE,MBC_4
5,MBC,voi_4,1.31578266620636,0.2244252413511276,1.31578266620636,0.0061114166378974,DE,MBC_4
5,MBC,voi_5,1.3006690740585327,0.2217933237552642,1.3006690740585327,0.0051668171286582,DE,MBC_4
5,MBC,voi_6,1.185973882675171,0.2014053463935852,1.185973882675171,0.002,DE,MBC_4
8,MBC,voi_1,1.9621826,0.18833694,1.9621826,0.0197614264,DE,MBC_1
8,MBC,voi_2,1.8692278861999512,0.3008145987987518,1.8692278861999512,0.0231077960968017,DE,MBC_1
8,MBC,voi_3,1.9948227405548096,0.2133025676012039,1.9948227405548096,0.0185863813400269,DE,MBC_1
8,MBC,voi_4,1.926637887954712,0.2529169023036957,1.926637887954712,0.0210410360336303,DE,MBC_1
8,MBC,voi_5,1.9536020755767824,0.2152281105518341,1.9536020755767824,0.0200703252792358,DE,MBC_1
8,MBC,voi_6,1.9008606672286987,0.2390373349189758,1.9008606672286987,0.0219690159797668,DE,MBC_1
17,MGA,voi_1,1.3522602,0.2846178,1.3522602,0.006601709,DE,MGA_2
17,MGA,voi_2,1.8045175075531008,0.2024441808462143,1.8045175075531008,0.0107289495468138,DE,MGA_2
17,MGA,voi_3,1.497990369796753,0.2734172642230987,1.497990369796753,0.0131595666408538,DE,MGA_2
17,MGA,voi_4,1.6925112009048462,0.2665078938007355,1.6925112009048462,0.0174493279457092,DE,MGA_2
17,MGA,voi_5,1.3134539127349854,0.1875326335430145,1.3134539127349854,0.0048554260730743,DE,MGA_2
17,MGA,voi_6,1.7701374292373655,0.3001953065395355,1.7701374292373655,0.012791754245758,DE,MGA_2
18,MGA,voi_1,1.4685888,0.23186612,1.4685888,0.011836496,DE,MGA_0
18,MGA,voi_2,1.5157581567764282,0.2923353612422943,1.5157581567764282,0.0139591170549392,DE,MGA_0
18,MGA,voi_3,1.4541542530059814,0.2090814709663391,1.4541542530059814,0.0111869413852691,DE,MGA_0
18,MGA,voi_4,1.384429931640625,0.2067454904317855,1.384429931640625,0.0080493469238281,DE,MGA_0
18,MGA,voi_5,1.4724833965301514,0.2028912305831909,1.4724833965301514,0.0120117528438568,DE,MGA_0
18,MGA,voi_6,1.490326166152954,0.2836811244487762,1.490326166152954,0.0128146774768829,DE,MGA_0
19,MGA,voi_1,1.3804256,0.23493974,1.3804256,0.0338473439999998,DE,MGA_1
19,MGA,voi_2,1.814329743385315,0.2052166759967804,1.814329743385315,0.0401121723175046,DE,MGA_1
19,MGA,voi_3,1.626689314842224,0.2925464808940887,1.626689314842224,0.0467761890292165,DE,MGA_1
19,MGA,voi_4,1.623340129852295,0.2637155055999756,1.623340129852295,0.0466003568172453,DE,MGA_1
19,MGA,voi_5,1.5639605522155762,0.3130407929420471,1.5639605522155762,0.0434829289913175,DE,MGA_1
19,MGA,voi_6,1.320255160331726,0.3586125373840332,1.320255160331726,0.0306883959174155,DE,MGA_1
21,MGA,voi_1,1.8514553,0.25866812,1.8514553,0.0173010395999999,DE,MGA_3
